code,name,market,sector
005440,현대지에프홀딩스,KOSPI,N/A
007070,GS리테일,KOSPI,N/A
004370,농심,KOSPI,N/A
030000,제일기획,KOSPI,N/A
282330,BGF리테일,KOSPI,N/A
007340,DN오토모티브,KOSPI,N/A
071970,HD현대마린엔진,KOSPI,N/A
051600,한전KPS,KOSPI,N/A
462870,시프트업,KOSPI,N/A
018670,SK가스,KOSPI,N/A
008770,호텔신라,KOSPI,N/A
192820,코스맥스,KOSPI,N/A
281820,케이씨텍,KOSPI,N/A
457190,이수스페셜티케미컬,KOSPI,N/A
020150,롯데에너지머티리얼즈,KOSPI,N/A
002790,아모레퍼시픽홀딩스,KOSPI,N/A
000155,두산우,KOSPI,N/A
439260,대한조선,KOSPI,N/A
103140,풍산,KOSPI,N/A
00680K,미래에셋증권2우B,KOSPI,N/A
007810,코리아써키트,KOSPI,N/A
001740,SK네트웍스,KOSPI,N/A
395400,SK리츠,KOSPI,N/A
000120,CJ대한통운,KOSPI,N/A
011210,현대위아,KOSPI,N/A
112610,씨에스윈드,KOSPI,N/A
120110,코오롱인더,KOSPI,N/A
009155,삼성전기우,KOSPI,N/A
001800,오리온홀딩스,KOSPI,N/A
023590,다우기술,KOSPI,N/A
097230,HJ중공업,KOSPI,N/A
069620,대웅제약,KOSPI,N/A
006040,동원산업,KOSPI,N/A
020560,아시아나항공,KOSPI,N/A
093370,후성,KOSPI,N/A
475150,SK이터닉스,KOSPI,N/A
006280,녹십자,KOSPI,N/A
