date,005930,000660,402340,005935,009150,005380,373220,032830,105560,207940,028260,000270,329180,055550,034020,012450,034730,012330,068270,086790,006400,267260,010120,035420,066570,000810,298040,042660,005490,009540,006800,015760,316140,000150,010130,042700,010140,064350,138040,017670,051910,011200,033780,011070,096770,024110,079550,267250,035720,018260,003550,010950,086280,047810,278470,030200,272210,003670,071050,307950,000720,005940,259960,323410,006260,005830,016360,003490,0126Z0,352820,180640,161390,443060,039490,047050,028050,003230,007660,078930,090430,047040,005387,064400,000880,326030,021240,032640,267270,241560,353200,004170,001440,062040,029780,138930,034220,009830,000100,271560,036570,000990,377300,128940,175330,088980,454910,005385,011790,023530,000500,001040,066970,088350,052690,002380,082740,111770,018880,010060,051900,069960,004020,012510,001450,103590,035250,336260,251270,022100,036460,031210,009420,383220,011780,302440,097950,139130,028670,012750,014680,006360,017800,450080,011170,004800,005850,026960,001720,161890,085620,483650,009970,375500,003690,000240,081660,004990,204320,489790,008930,139480,073240,279570,005440,007070,004370,030000,282330,007340,071970,051600,462870,018670,008770,192820,281820,457190,020150,002790,000155,439260,103140,00680K,007810,001740,395400,000120,011210,112610,120110,009155,001800,023590,097230,069620,006040,020560,093370,475150,006280
2019-01-15,11492756,2413868,,1502321,1186102,828015,,225666,1317274,85263,281229,1033143,,1276884,737142,214388,82153,211778,1284365,1276452,316376,73221,416685,335999,560337,57272,31602,479210,204181,206859,4316791,1247907,,65207,48089,295574,3201954,1728082,72754,603264,162948,1283681,284577,232747,165865,1184853,161542,37994,381581,87521,204124,324777,202983,679722,,381458,,420514,322675,,587917,1425182,,,110636,114495,430717,532772,,,797096,389931,,144507,194170,715185,74849,1386807,109959,187333,825054,76809,,290859,,105963,1632799,158981,170102,,106953,56324,,63914,931314,1331890,1143857,1356382,70524,88024,146221,,27187,160521,1042145,,64676,88266,57893,4435,58461,147582,727272,280991,23324,324223,122256,2056513,113230,44161,70488,456718,34388.0,250359,102815,380420,,111048,417879,151791,,527666,,101049,,26389,841984,688342,41395,36308,341735,588040,,109010,297937,101253,137208,2298,105942,436889,,791,,474344,134424,465108,80631,930104,,55903,131644,421456,,266856,216943,23675,280391,19065,45343,737315,295495,,10707,761717,63884,76706,,413733,132868,1585,,79267,362720,61975,1235010,,66344,127733,20852,92498,8150,83442,100338,9374423,33017,524,79588,1057336,,43018
2019-01-16,8491595,2478497,,1388226,1171185,397335,,174318,1091289,75179,221358,607592,,1618419,838132,169709,79266,131657,1741080,1091823,285119,114850,664235,272719,565004,61328,50106,390316,315989,122625,4051621,1200279,,57248,50460,261060,2128621,1413622,43363,540124,338647,4218932,238071,249872,155376,883356,104338,20553,217209,118055,190700,244733,118309,575846,,414568,,346939,201022,,618609,1198671,,,137361,147425,484528,997933,,,616734,276710,,217660,388206,685345,49639,1207603,105550,259797,880142,57956,,185780,,122414,1449784,277727,219080,,64034,101063,,70096,1075239,1753090,1496962,496334,70580,116641,316810,,46213,235064,641266,,27123,85386,156389,10196,55593,83282,899527,180906,24581,278603,154877,1103305,106093,34417,78926,305473,35715.0,177184,113508,302918,,147350,421669,259256,,309630,,136128,,27367,721109,687789,41164,53548,676712,536136,,197935,149364,57043,134708,5251,96051,443072,,6182,,356318,74199,303676,98641,403685,,51884,63227,441231,,405686,213195,15418,189662,25157,24259,245082,206477,,9080,767972,59034,62547,,199416,106672,2032,,99385,384079,31662,1223598,,147165,91111,53183,77232,5267,61012,132967,25106249,28129,306,96669,695866,,25521
2019-01-17,11736903,2830122,,2179326,1435354,513711,,383196,1035554,110358,222043,676580,,2926736,878111,239030,84511,373169,2007911,897666,376458,73507,497655,407099,467844,56377,80067,288489,253408,206768,2111438,954223,,60647,49725,188628,2498132,1427278,27508,654227,195538,1388814,208460,168659,237440,939646,332788,29329,434803,95005,243924,249580,201886,549556,,341463,,669488,139159,,684109,675191,,,83866,128873,276389,1258820,,,1609931,542448,,119654,175754,1199364,50189,1001332,121383,446966,759133,63484,,494902,,171855,1221237,138977,164215,,94486,68666,,71578,1588598,1496339,1235137,346701,79559,115113,185068,,24403,391072,1215328,,57248,91213,213978,3476,45141,803775,1782929,105203,16719,255275,183388,1393737,263875,28699,56356,336943,49633.0,210230,57043,325748,,185042,258909,247743,,462268,,88827,,24607,593778,883796,60316,40828,298681,851328,,210588,168575,47994,71311,6048,183861,384940,,1357,,521315,101708,414832,178555,571156,,62206,108060,577990,,381219,442694,20466,293582,23871,20444,97113,175378,,7471,779135,80107,74496,,706940,171649,669,,96757,153678,28898,963116,,52997,86157,55977,133966,8587,55197,57340,8066386,59236,406,121211,570596,,27596
2019-01-18,11029256,2263599,,1929736,1197321,556106,,154126,1054443,89548,461442,1154258,,804121,749703,723361,95526,356368,1621499,831502,347057,38115,558790,328761,488762,57927,338926,241931,198863,249883,2158299,1715880,,195112,40318,156562,2307879,1097437,56520,415634,175106,1091564,194036,123423,167533,825532,251187,34901,291588,87738,187690,202213,161202,509499,,328086,,977219,91281,,466641,566173,,,94156,153795,251964,499813,,,766574,327305,,153727,214710,2211656,40722,1975876,139071,291240,564795,49132,,173875,,123549,1529176,112621,191919,,62464,47323,,58423,1004878,1203514,1045122,252424,61584,123645,295482,,33648,602167,101867,,42987,73743,120404,16899,54368,166951,1204183,97307,18383,117269,77753,3452632,318288,24583,62150,326296,42821.0,270887,97222,682792,,312789,713967,264443,,208503,,86492,,24459,394536,963472,66840,36704,307836,741409,,137724,567846,26841,74455,797,115902,182086,,2512,,557603,107916,284810,130674,929475,,37759,83266,356652,,459147,406682,15056,161600,18261,26580,90977,307173,,56779,572965,100897,73823,,494506,175037,3385,,104333,255646,19823,818648,,57874,214611,30064,164248,7220,37280,54300,4595435,43319,632,82535,713791,,19118
2019-01-21,11355701,3977425,,2294825,1779370,657273,,173378,1451479,88815,255690,857815,,1016457,913854,262950,101050,190077,1127704,602569,263079,49188,524630,457161,614764,37311,167514,1240508,247916,340359,1868321,2721858,,42619,35157,303250,7308943,978644,26659,1074811,185149,820669,149140,201322,218940,555983,138536,24955,252620,61831,164235,248745,204524,314897,,602200,,1048483,88882,,495311,402335,,,125270,73312,232734,375392,,,560756,184478,,57027,490568,1222913,57579,1105956,83576,209565,713531,53955,,168067,,123102,2372145,118433,157494,,80876,30318,,55088,675459,2852558,902507,219611,78903,61535,514170,,14711,150548,1227390,,23555,83460,56980,4308,26813,349005,1097149,68925,19437,1067215,202301,2847472,170385,25571,49910,463689,30214.0,139057,224488,462822,,361789,534542,116153,,304365,,182446,,19186,443432,1784723,45057,39838,203683,623458,,209393,210513,30319,110653,411,75718,185553,,2487,,302665,77540,592938,88621,992662,,34768,57443,284747,,368353,170499,18876,131748,13394,16296,200417,207418,,44377,951873,54822,196308,,303446,66658,2676,,105874,142110,42554,657402,,75936,159808,25436,162200,25279,44175,112074,6013507,38718,841,116607,886917,,27487
2019-01-22,9964356,4047917,,2170052,1047310,446263,,633907,1365448,124332,441775,978878,,1072439,518160,137204,113958,143839,749839,448828,267889,59131,590250,502285,997141,71247,94511,326644,253465,180670,1511885,971696,,44081,25769,319328,2693376,665295,31843,633658,168874,646043,164844,160754,146563,835059,100174,25502,448490,61003,115169,153103,171494,249923,,362013,,737242,112876,,463200,480017,,,67786,155110,211578,541529,,,518013,246300,,79438,167570,1144998,27708,1064630,74300,272796,648194,44928,,117885,,142527,1317034,100041,135306,,86611,48598,,64317,1015596,2249648,1215271,373785,67344,48434,350935,,21955,138016,760847,,21696,64779,101400,2188,49122,234584,875266,217732,37097,162950,116094,2208909,122727,36999,53239,287613,35769.0,375121,105216,348438,,275732,348818,118397,,239590,,84523,,23884,683867,738904,50153,25222,378398,590795,,128441,181552,54982,95520,610,108360,107634,,762,,465920,46355,275544,87923,570595,,43547,110785,360551,,465843,266569,25831,165522,14067,4867,1629992,221002,,25708,658776,111141,73925,,623386,92276,990,,71151,196112,13638,993626,,35585,246445,16805,140424,7811,43579,34407,1955389,26740,796,57618,897217,,16676
2019-01-23,11071079,2825017,,1917182,1475595,422209,,490020,1495271,81815,449789,1134420,,1092002,465866,226767,460972,321733,551508,758776,235603,52911,573850,259375,587708,68189,49662,237220,200955,189100,1296231,1465921,,28633,34089,297396,2399763,604331,56871,983833,135604,976430,255066,109071,155331,1482242,98574,38725,360462,79240,177655,291996,126393,379686,,398197,,454210,116692,,462300,642472,,,48699,120907,161777,733917,,,582835,215890,,70090,202705,1235998,35223,836522,131974,211497,2289355,42862,,330599,,460382,2383539,97118,127834,,242494,35791,,50079,1529265,1070541,873230,306203,57196,68089,379548,,77304,214267,1117348,,18442,62478,70789,2776,50943,217384,936345,103432,40977,121345,93630,1647376,170247,34455,66974,254577,46166.0,452100,84859,604236,,184452,318778,129137,,140135,,91162,,25336,351537,761234,56502,18361,383412,604718,,126054,615796,67889,89088,716,245307,89727,,478,,424591,56429,310659,101461,409363,,51904,67912,377337,,231116,297165,24964,178489,18713,17649,300511,109233,,24516,1181584,116891,92675,,301133,123350,552,,85331,313327,39819,856159,,40542,223871,9046,153028,4342,82038,58499,28749442,35732,1250,88542,544887,,19233
2019-01-24,14747623,6914092,,1391887,1388831,778826,,301733,1454749,56598,257380,1262251,,1532773,404316,243050,102485,292037,1247420,1056042,479105,110782,309380,562335,620651,76798,49110,288106,309534,253162,5320062,1227283,,34865,56817,355392,2414492,979657,134642,806033,163790,878913,351771,161807,185508,1038611,174972,26537,282408,116726,241607,288757,175796,394843,,497898,,531002,242548,,452601,1171514,,,86567,109540,641456,474693,,,1009343,254674,,253423,544993,1061090,52876,945852,122167,226410,1526372,69652,,266026,,181921,1941182,90002,175238,,94368,54422,,71978,1273641,1062502,843203,290040,282625,95774,365004,,37690,328591,858196,,60166,101469,78055,4891,45620,231563,1402508,113410,18914,245632,109856,1484747,369582,40723,57678,286869,129141.0,261862,64469,357623,,131913,222408,194376,,244223,,109191,,25064,756449,1216975,52595,24339,581136,441236,,62131,318471,137609,88846,1459,64483,299858,,1544,,395044,85424,345822,90390,321005,,45218,61113,532430,,200182,206510,15692,252507,24190,13400,202007,373329,,26712,680727,107897,70698,,261797,84268,765,,69831,305945,23949,1796220,,67110,213147,28056,91588,8491,114649,849224,43692651,33262,2694,95103,760951,,31960
2019-01-25,22789395,7163871,,1727856,4169300,535338,,461950,1134097,59295,371441,1408928,,1366677,423654,187122,120260,264026,811983,950356,397563,84955,607950,281650,1749374,76325,73429,457019,281853,164830,2121947,1180067,,59595,29081,813140,3825682,1730662,43444,788002,179731,961120,340319,220356,284822,814035,119982,39242,355017,89093,302555,227035,503074,343699,,533430,,1074996,147965,,650300,686016,,,79990,127281,357215,1033315,,,1165609,248050,,122180,363074,1531781,47996,776294,194995,262170,963781,86139,,206787,,184654,1476672,229779,165636,,138678,55674,,79819,968258,2224290,996144,282848,105454,136450,888300,,28500,329767,1069127,,42167,88607,76105,5819,56258,856019,1033284,105889,16372,836409,161432,1351114,216897,78685,57718,482587,254439.0,203754,67606,322334,,360582,404297,115974,,251777,,121625,,35318,711218,1508230,45339,33260,303946,492139,,186657,191463,58562,87750,1233,128914,128894,,1151,,246437,38216,815342,149000,360759,,46373,63488,348654,,220228,234822,27182,160819,35796,31328,1032845,198328,,27978,1172736,105760,91670,,1175167,117546,1052,,81340,163757,52725,1010697,,50388,316927,11704,142434,35907,61926,243740,15760493,53640,5089,101676,2082191,,134261
2019-01-28,17998914,4972189,,998838,1720123,541428,,256923,1176898,81566,262312,1277309,,989383,671347,193223,113877,460844,1075954,692422,745650,95829,329120,283360,809802,63638,62992,1059985,248313,376549,1545107,1027710,,39661,29269,1068730,12634513,840192,68899,880064,169205,1044269,344101,398958,268707,660455,140340,104090,275296,99390,202032,244559,211754,604657,,480158,,492650,148343,,610701,634079,,,116192,91859,334042,363344,,,433271,143672,,80089,305262,1323217,160283,697960,128831,201988,1064147,82872,,219833,,151181,1197067,247542,153199,,129048,55398,,119971,780310,1676429,1510037,376608,80900,103224,501851,,31029,357577,679928,,46827,76859,78224,2197,58566,359062,953083,167498,24921,1017253,117698,1019023,301927,26709,98175,577215,193329.0,166563,42172,263618,,172596,787220,126826,,393120,,77327,,41393,834097,982339,41118,69329,312990,328948,,190406,383753,83123,79363,5783,86586,222910,,3047,,244506,66644,403480,112147,536881,,37360,71708,300258,,176135,123045,24900,152507,18770,26810,327938,168761,,26224,1824331,80561,113349,,615134,151063,1274,,94463,81510,50401,675572,,57970,228471,30792,91427,21353,73691,287145,4980052,42918,1332,85327,1034077,,79276
